                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9502,                 4.2586,                 1.4827,                0.00437,                      1,                 0.1643,                0.04118,                  1.051,                 3.8784,                0.98625,                0.00038,                0.00038,                0.00038
                      1,                 1.0285,                 1.8773,                  1.023,                0.00437,                      1,                0.01173,                0.00671,                0.94463,                 3.7906,                0.97629,             0.00075426,             0.00075426,             0.00075426
                      2,                0.99689,                 1.4045,                0.99967,                0.00437,                      1,                0.27425,                0.20979,                0.84918,                 3.2603,                0.99662,              0.0011021,              0.0011021,              0.0011021
                      3,                0.91729,                 1.2588,                0.98447,                      1,                0.56501,                 0.9698,                0.75863,                0.79269,                 2.5468,                0.99357,              0.0014236,              0.0014236,              0.0014236
                      4,                0.83448,                 1.0558,                0.96383,                0.97165,                      1,                0.99449,                 0.8038,                0.75943,                 1.5309,                0.97396,              0.0017186,              0.0017186,              0.0017186
                      5,                0.81425,                0.98205,                0.96171,                0.96516,                      1,                0.99115,                0.80473,                0.75333,                 1.1006,                0.95202,                0.00167,                0.00167,                0.00167
                      6,                 0.7883,                0.83825,                0.95218,                 0.9706,                      1,                0.98218,                0.79411,                 0.7575,                0.91895,                 0.9443,                0.00167,                0.00167,                0.00167
                      7,                0.76616,                0.77281,                0.93243,                0.97191,                      1,                0.98218,                0.78744,                0.79091,                0.79577,                0.95832,               0.001604,               0.001604,               0.001604
                      8,                0.75835,                0.71086,                0.93298,                0.97267,                      1,                0.97962,                0.78854,                0.77284,                0.60595,                0.94664,               0.001538,               0.001538,               0.001538
                      9,                0.74509,                0.65575,                0.92589,                0.97231,                      1,                0.98038,                0.79566,                0.79228,                0.60109,                0.97112,               0.001472,               0.001472,               0.001472
                     10,                0.74506,                0.62057,                0.91886,                0.97102,                      1,                 0.9809,                0.79358,                0.74325,                0.58805,                0.93417,               0.001406,               0.001406,               0.001406
                     11,                0.71396,                 0.5771,                0.91328,                0.97186,                      1,                0.97833,                0.79406,                0.75884,                0.54075,                0.94311,                0.00134,                0.00134,                0.00134
                     12,                0.70615,                0.53104,                0.91409,                0.97248,                      1,                0.99321,                0.80373,                  0.707,                0.49222,                0.92346,               0.001274,               0.001274,               0.001274
                     13,                0.70595,                0.54151,                0.92145,                0.97225,                      1,                0.98167,                0.79868,                0.73397,                0.49174,                0.92782,               0.001208,               0.001208,               0.001208
                     14,                0.69443,                0.50294,                0.91212,                0.97173,                      1,                0.98372,                0.75991,                0.85406,                0.49919,                0.97888,               0.001142,               0.001142,               0.001142
                     15,                0.69211,                 0.4859,                0.89918,                0.97219,                      1,                0.97756,                0.81181,                0.77722,                0.50075,                0.94926,               0.001076,               0.001076,               0.001076
                     16,                0.68084,                0.48348,                0.91015,                0.97268,                      1,                0.97885,                0.80619,                0.72519,                0.44088,                0.92632,                0.00101,                0.00101,                0.00101
                     17,                0.65689,                 0.4555,                0.89481,                 0.9728,                      1,                0.98372,                0.82205,                 0.6969,                0.43421,                0.92024,               0.000944,               0.000944,               0.000944
                     18,                0.63693,                0.43421,                0.88559,                0.96861,                      1,                0.98628,                0.79982,                0.76178,                0.44346,                0.93868,               0.000878,               0.000878,               0.000878
                     19,                0.63791,                0.42955,                0.87982,                 0.9727,                      1,                0.99321,                0.78978,                  0.728,                 0.4007,                0.92233,               0.000812,               0.000812,               0.000812
                     20,                0.65083,                0.42878,                    0.9,                0.97346,                      1,                0.98705,                0.81165,                0.69421,                0.39777,                0.91571,               0.000746,               0.000746,               0.000746
                     21,                0.62503,                0.41389,                0.88179,                0.97271,                      1,                0.98423,                 0.8131,                0.70826,                0.41448,                0.92255,                0.00068,                0.00068,                0.00068
                     22,                0.60102,                0.40538,                0.87366,                 0.9727,                      1,                0.98167,                0.81749,                0.70699,                0.39488,                0.91766,               0.000614,               0.000614,               0.000614
                     23,                0.60957,                0.39654,                 0.8766,                0.97279,                      1,                0.98782,                0.81253,                0.70825,                0.38523,                0.91794,               0.000548,               0.000548,               0.000548
                     24,                0.62226,                0.40266,                0.89163,                0.97277,                      1,                0.98962,                0.81336,                0.72716,                0.39416,                0.92309,               0.000482,               0.000482,               0.000482
                     25,                0.60134,                0.39497,                0.88914,                0.97266,                      1,                0.98962,                0.82098,                0.73165,                0.38733,                0.92345,               0.000416,               0.000416,               0.000416
                     26,                0.59181,                0.38806,                0.86947,                0.97276,                      1,                0.99115,                0.83293,                0.68366,                0.36733,                0.90855,                0.00035,                0.00035,                0.00035
                     27,                0.56655,                 0.3672,                0.87293,                0.97262,                      1,                0.99167,                0.83035,                0.70837,                0.36354,                0.91822,               0.000284,               0.000284,               0.000284
                     28,                0.57264,                0.37317,                0.86159,                0.97264,                      1,                0.99372,                0.84595,                0.68128,                0.36703,                0.91038,               0.000218,               0.000218,               0.000218
                     29,                0.55346,                0.35703,                0.86975,                0.97273,                      1,                0.99244,                  0.844,                0.70669,                0.35792,                0.91987,               0.000152,               0.000152,               0.000152
